Model,Connnection,Accuracy,F1-Score,Log-Loss,Time
CNN0,non-skip,0.4467,0.4201,1.0684,100.37
CNN0,skip,0.4531,0.4329,1.0573,102.41
CNN1,non-skip,0.4527,0.4292,1.0738,102.79
CNN1,skip,0.4583,0.4395,1.0544,103.26
CNN2,non-skip,0.4323,0.4166,1.075,106.7
CNN2,skip,0.4457,0.4244,1.065,106.61
CNN3,non-skip,0.4228,0.3931,1.0835,121.12
CNN3,skip,0.4479,0.4363,1.0693,109.27
CNN4,non-skip,0.4034,0.3787,1.0904,121.54
CNN4,skip,0.4288,0.4163,1.0768,111.29
CNN5,non-skip,0.3491,0.1725,1.0972,139.27
CNN5,skip,0.4316,0.429,1.0784,113.69
